player_name	team1	team2	team3	team4
Daniel	New England Patriots	Carolina Panthers	Minnesota Vikings	Chicago Bears
Gabri	Green Bay Packers	Tennessee Titans	Detroit Lions	Jacksonville Jaguars
Bryan	Atlanta Falcons	Tampa Bay Buccaneers	Indianapolis Colts	Miami Dolphins
Meg	Dallas Cowboys	Denver Broncos	Baltimore Ravens	San Francisco 49ers
Vic	Oakland Raiders	Arizona Cardinals	New York Giants	Cleveland Browns
Paula	Seattle Seahawks	Houston Texans	Philadelphia Eagles	Buffalo Bills
Martin	Los Angeles Chargers	New Orleans Saints	Los Angeles Rams	New York Jets
Dorothy	Pittsburgh Steelers	Kansas City Chiefs	Washington Redskins	Cincinatti Bengals
